timestamp,source_ip,source_port,destination_ip,destination_port,l4_proto,l2_proto,l7_proto
1716824057.761934,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716824057.76201,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716824057.840064,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716824057.842214,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716824057.842214,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716824057.8423,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716824057.928163,162.247.241.2,443,192.168.1.66,58582,TCP,2048,nil
1716824057.928217,192.168.1.66,58582,162.247.241.2,443,TCP,2048,nil
1716824058.364625,162.159.134.234,443,192.168.1.66,60008,TCP,2048,nil
1716824058.413015,192.168.1.66,60008,162.159.134.234,443,TCP,2048,nil
1716824058.85187,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716824058.85192,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716824058.896024,192.168.1.66,60061,18.172.185.116,443,TCP,2048,nil
1716824058.898125,18.172.185.116,443,192.168.1.66,60061,TCP,2048,nil
1716824058.9302,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716824058.931174,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716824058.931174,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716824058.931303,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716824058.957973,192.168.1.66,60063,18.172.185.116,443,TCP,2048,nil
1716824058.960215,18.172.185.116,443,192.168.1.66,60063,TCP,2048,nil
1716824059.176936,192.168.1.66,60071,18.172.185.116,443,TCP,2048,nil
1716824059.179422,18.172.185.116,443,192.168.1.66,60071,TCP,2048,nil
1716824059.240142,192.168.1.66,60069,18.172.185.116,443,TCP,2048,nil
1716824059.242918,18.172.185.116,443,192.168.1.66,60069,TCP,2048,nil
1716824059.475035,192.168.1.66,60062,142.250.217.67,80,TCP,2048,HTTP
1716824059.480724,142.250.217.67,80,192.168.1.66,60062,TCP,2048,nil
1716824059.505571,192.168.1.66,60070,18.172.185.116,443,TCP,2048,nil
1716824059.507748,18.172.185.116,443,192.168.1.66,60070,TCP,2048,nil
1716824059.583203,192.168.1.66,60072,18.172.185.116,443,TCP,2048,nil
1716824059.584895,18.172.185.116,443,192.168.1.66,60072,TCP,2048,nil
1716824059.910345,192.168.1.66,60068,142.250.217.67,80,TCP,2048,HTTP
1716824059.915168,142.250.217.67,80,192.168.1.66,60068,TCP,2048,nil
1716824059.944407,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716824059.944461,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716824060.023292,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716824060.024273,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716824060.024273,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716824060.024366,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716824060.516843,162.159.134.234,443,192.168.1.66,60008,TCP,2048,nil
1716824060.567465,192.168.1.66,60008,162.159.134.234,443,TCP,2048,nil
1716824060.753093,162.159.134.234,443,192.168.1.66,60008,TCP,2048,nil
1716824060.772534,192.168.1.66,60061,18.172.185.116,443,TCP,2048,nil
1716824060.776055,18.172.185.116,443,192.168.1.66,60061,TCP,2048,nil
1716824060.77805,18.172.185.116,443,192.168.1.66,60061,TCP,2048,nil
1716824060.802036,192.168.1.66,60008,162.159.134.234,443,TCP,2048,nil
1716824060.818106,192.168.1.66,60061,18.172.185.116,443,TCP,2048,nil
1716824061.039322,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716824061.039384,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716824061.118419,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716824061.119404,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716824061.119404,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716824061.119494,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716824061.230818,192.168.1.72,5353,224.0.0.251,5353,UDP,2048,DNS
1716824062.053364,192.168.1.41,56505,192.168.1.66,5353,UDP,2048,DNS
1716824062.053675,192.168.1.66,5353,192.168.1.41,56505,UDP,2048,DNS
1716824062.053944,192.168.1.66,5353,224.0.0.251,5353,UDP,2048,DNS
1716824062.056355,192.168.1.41,49903,192.168.1.66,137,UDP,2048,nil
1716824062.056522,192.168.1.66,137,192.168.1.41,49903,UDP,2048,nil
1716824062.152708,192.168.1.41,5355,224.0.0.252,5355,UDP,2048,nil
1716824062.15314,192.168.1.66,5355,192.168.1.41,5355,UDP,2048,nil
1716824062.188062,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716824062.188132,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716824062.266602,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716824062.267578,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716824062.267578,3.232.83.2,443,192.168.1.66,59634,TCP,2048,nil
1716824062.267672,192.168.1.66,59634,3.232.83.2,443,TCP,2048,nil
1716824062.27663,162.159.134.234,443,192.168.1.66,60008,TCP,2048,nil
1716824062.323553,192.168.1.66,60008,162.159.134.234,443,TCP,2048,nil
1716824062.494841,192.168.1.66,59989,157.240.3.20,443,TCP,2048,nil
1716824062.50085,157.240.3.20,443,192.168.1.66,59989,TCP,2048,nil
1716824062.542163,192.168.1.66,59989,157.240.3.20,443,TCP,2048,nil
1716824062.558902,162.247.241.2,443,192.168.1.66,58562,TCP,2048,nil
1716824062.558964,192.168.1.66,58562,162.247.241.2,443,TCP,2048,nil
1716824062.73676,192.168.1.66,64077,192.168.1.254,53,UDP,2048,DNS
1716824062.744091,192.168.1.254,53,192.168.1.66,64077,UDP,2048,DNS
1716824062.745051,192.168.1.66,61951,192.168.1.254,53,UDP,2048,DNS
